"Date","Price","Open","High","Low","Vol.","Change %"
"29-05-2023","956.25","952.00","959.20","945.10","1.74M","0.52%"
"26-05-2023","951.35","945.90","952.75","940.50","1.13M","0.62%"
"25-05-2023","945.45","941.45","947.00","935.00","2.18M","0.79%"
"24-05-2023","938.00","923.50","939.90","923.50","1.03M","0.82%"
"23-05-2023","930.40","926.40","932.30","919.50","1.58M","0.59%"
"22-05-2023","924.95","916.25","931.05","915.45","1.40M","0.95%"
"19-05-2023","916.25","917.00","922.00","913.00","1.17M","0.19%"
"18-05-2023","914.50","929.00","929.65","911.55","1.88M","-1.02%"
"17-05-2023","923.95","924.95","932.00","917.00","1.87M","0.20%"
"16-05-2023","922.10","927.40","942.65","918.40","2.96M","-0.08%"
"15-05-2023","922.80","940.00","940.00","896.85","5.49M","-1.56%"
"12-05-2023","937.45","948.85","953.00","913.00","3.85M","-0.65%"
"11-05-2023","943.60","946.45","947.00","935.00","1.54M","-0.08%"
"10-05-2023","944.40","943.50","946.70","933.20","1.62M","0.55%"
"09-05-2023","939.20","935.00","943.00","929.10","2.66M","0.63%"
"08-05-2023","933.30","927.20","934.90","919.65","3.88M","0.92%"
"05-05-2023","924.80","935.00","935.20","920.85","2.26M","-0.93%"
"04-05-2023","933.50","920.65","935.40","920.65","3.39M","1.40%"
"03-05-2023","920.65","920.95","924.50","917.00","2.57M","0.32%"
"02-05-2023","917.70","910.40","921.00","906.10","1.86M","1.06%"
"28-04-2023","908.05","918.85","919.00","905.15","2.70M","-0.65%"
"27-04-2023","913.95","911.20","917.30","903.00","2.46M","0.31%"
"26-04-2023","911.10","911.85","914.20","900.05","1.40M","0.16%"
"25-04-2023","909.65","904.60","912.00","896.30","2.44M","0.74%"
"24-04-2023","903.00","916.00","917.20","901.15","1.78M","-1.32%"
"21-04-2023","915.05","903.00","918.55","903.00","3.48M","1.22%"
"20-04-2023","904.00","912.00","913.70","898.95","4.45M","-0.87%"
"19-04-2023","911.90","925.95","925.95","909.00","1.54M","-1.34%"
"18-04-2023","924.25","905.00","925.50","897.00","1.95M","1.96%"
"17-04-2023","906.45","915.00","917.45","901.10","2.60M","-1.02%"
"13-04-2023","915.75","921.90","923.05","912.30","1.07M","-0.24%"
"12-04-2023","917.95","909.00","920.90","908.20","3.45M","1.19%"
"11-04-2023","907.15","905.00","908.15","902.00","1.78M","0.59%"
"10-04-2023","901.85","896.95","904.50","894.20","919.72K","0.95%"
"06-04-2023","893.35","899.00","899.75","889.00","1.51M","-0.27%"
"05-04-2023","895.75","889.00","897.35","886.30","1.61M","0.48%"
"03-04-2023","891.45","910.00","910.00","887.05","2.62M","-1.00%"
"31-03-2023","900.50","888.80","902.70","886.70","2.32M","1.44%"
"29-03-2023","887.70","893.95","896.60","885.35","3.05M","-0.20%"
"28-03-2023","889.50","891.80","894.25","886.40","3.62M","0.02%"
"27-03-2023","889.30","881.05","891.35","876.05","3.99M","1.37%"
"24-03-2023","877.25","869.10","879.00","866.15","3.17M","0.94%"
"23-03-2023","869.10","868.00","870.90","861.25","1.87M","0.66%"
"22-03-2023","863.40","864.00","866.00","852.00","1.62M","0.12%"
"21-03-2023","862.35","866.80","872.40","860.60","888.44K","-0.50%"
"20-03-2023","866.70","874.05","876.90","861.80","997.83K","-0.84%"
"17-03-2023","874.05","887.35","888.40","870.00","2.21M","-1.06%"
"16-03-2023","883.45","881.00","890.00","876.75","2.02M","0.63%"
"15-03-2023","877.95","875.00","883.40","872.60","1.29M","0.68%"
"14-03-2023","872.05","873.00","883.70","853.85","2.44M","-0.31%"
"13-03-2023","874.80","882.60","889.10","872.15","1.70M","-0.73%"
"10-03-2023","881.20","879.15","884.60","871.30","1.72M","-0.06%"
"09-03-2023","881.75","877.25","896.85","877.00","6.18M","0.51%"
"08-03-2023","877.25","883.70","883.80","871.10","2.93M","-0.41%"
"06-03-2023","880.90","885.00","885.55","869.05","4.09M","0.26%"
"03-03-2023","878.65","891.00","892.00","877.00","1.89M","-0.88%"
"02-03-2023","886.45","901.95","903.00","884.50","1.89M","-1.46%"
"01-03-2023","899.60","907.80","910.25","896.00","3.50M","-0.75%"
"28-02-2023","906.40","945.90","945.90","903.10","5.38M","-4.61%"
"27-02-2023","950.20","965.60","968.60","948.65","1.38M","-1.21%"
"24-02-2023","961.80","961.10","966.00","955.00","1.59M","0.16%"
"23-02-2023","960.30","965.00","967.45","956.00","1.22M","-0.23%"
"22-02-2023","962.55","966.60","972.80","959.05","1.60M","-0.35%"
"21-02-2023","965.95","969.80","979.10","963.50","2.04M","0.20%"
"20-02-2023","964.00","998.00","998.00","955.25","5.83M","-6.02%"
"17-02-2023","1,025.75","1,035.50","1,035.75","1,021.15","1.51M","-0.94%"
"16-02-2023","1,035.50","1,031.75","1,038.00","1,028.35","667.27K","0.46%"
"15-02-2023","1,030.80","1,026.85","1,033.45","1,016.10","662.92K","0.24%"
"14-02-2023","1,028.35","1,026.70","1,032.45","1,017.60","759.42K","0.63%"
"13-02-2023","1,021.95","1,036.00","1,040.60","1,019.00","1.04M","-1.09%"
"10-02-2023","1,033.20","1,021.00","1,036.85","1,015.05","1.11M","1.15%"
"09-02-2023","1,021.50","1,025.30","1,044.60","1,020.00","1.33M","-1.69%"
"08-02-2023","1,039.10","1,035.00","1,041.20","1,019.15","746.86K","0.76%"
"07-02-2023","1,031.30","1,029.80","1,034.85","1,021.30","965.32K","0.15%"
"06-02-2023","1,029.80","1,020.00","1,033.60","1,010.15","979.04K","0.73%"
"03-02-2023","1,022.30","1,022.00","1,027.80","1,010.50","1.62M","-0.29%"
"02-02-2023","1,025.30","1,026.10","1,032.80","1,017.30","1.29M","-0.65%"
"01-02-2023","1,032.05","1,019.00","1,035.90","1,015.10","1.60M","1.39%"
"31-01-2023","1,017.95","1,043.00","1,043.00","1,007.50","2.71M","-1.59%"
"30-01-2023","1,034.40","1,057.00","1,057.00","1,028.50","2.12M","-1.23%"
"27-01-2023","1,047.25","1,023.25","1,072.95","1,023.25","2.95M","1.16%"
"25-01-2023","1,035.25","1,064.90","1,068.25","1,020.00","2.23M","-2.53%"
"24-01-2023","1,062.15","1,065.00","1,074.90","1,055.05","712.63K","-0.04%"
"23-01-2023","1,062.55","1,053.40","1,064.25","1,050.70","750.58K","0.86%"
"20-01-2023","1,053.45","1,067.00","1,067.00","1,050.45","954.23K","-1.07%"
"19-01-2023","1,064.85","1,063.50","1,069.60","1,058.55","376.95K","0.14%"
"18-01-2023","1,063.40","1,068.90","1,072.00","1,059.35","1.30M","-0.53%"
"17-01-2023","1,069.10","1,062.80","1,071.10","1,053.35","762.94K","0.90%"
"16-01-2023","1,059.60","1,070.50","1,074.70","1,051.00","825.31K","-0.76%"
"13-01-2023","1,067.75","1,064.00","1,070.60","1,053.25","1.09M","0.62%"
"12-01-2023","1,061.15","1,052.80","1,064.10","1,043.15","1.19M","1.29%"
"11-01-2023","1,047.60","1,078.70","1,083.95","1,043.00","2.17M","-2.88%"
"10-01-2023","1,078.70","1,086.50","1,090.25","1,074.85","594.43K","-0.80%"
"09-01-2023","1,087.45","1,081.75","1,096.95","1,076.90","893.44K","1.03%"
"06-01-2023","1,076.35","1,088.35","1,093.10","1,073.50","824.77K","-1.10%"
"05-01-2023","1,088.35","1,075.00","1,093.20","1,067.40","1.61M","2.01%"
"04-01-2023","1,066.90","1,078.95","1,081.95","1,063.95","1.37M","-0.84%"
"03-01-2023","1,075.90","1,070.05","1,080.95","1,066.40","952.23K","0.46%"
"02-01-2023","1,070.95","1,080.25","1,082.00","1,063.85","895.05K","-0.46%"
"30-12-2022","1,075.95","1,094.95","1,095.00","1,073.50","1.19M","-1.07%"
"29-12-2022","1,087.55","1,086.00","1,098.00","1,070.00","1.63M","0.16%"
"28-12-2022","1,085.80","1,094.00","1,103.15","1,084.10","872.94K","-0.92%"
"27-12-2022","1,095.85","1,094.05","1,104.90","1,090.10","1.21M","-0.06%"
"26-12-2022","1,096.50","1,127.00","1,135.00","1,094.00","1.28M","-2.02%"
"23-12-2022","1,119.15","1,121.00","1,146.95","1,113.20","2.77M","-0.29%"
"22-12-2022","1,122.45","1,135.00","1,147.35","1,117.05","2.07M","-0.49%"
"21-12-2022","1,128.00","1,096.10","1,130.00","1,085.65","3.22M","3.38%"
"20-12-2022","1,091.15","1,096.00","1,097.40","1,088.45","795.75K","-0.50%"
"19-12-2022","1,096.65","1,090.35","1,100.50","1,084.45","779.33K","0.67%"
"16-12-2022","1,089.40","1,096.30","1,108.00","1,086.10","1.31M","-1.13%"
"15-12-2022","1,101.80","1,111.20","1,118.10","1,099.35","710.48K","-0.98%"
"14-12-2022","1,112.70","1,114.00","1,119.00","1,106.15","1.01M","0.25%"
"13-12-2022","1,109.90","1,096.95","1,112.50","1,088.20","1.28M","1.19%"
"12-12-2022","1,096.80","1,105.00","1,110.00","1,093.10","1.54M","-1.00%"
"09-12-2022","1,107.90","1,115.00","1,115.85","1,101.10","994.87K","0.04%"
"08-12-2022","1,107.50","1,109.20","1,113.00","1,103.15","808.32K","0.20%"
"07-12-2022","1,105.30","1,111.00","1,122.65","1,103.40","1.03M","-0.39%"
"06-12-2022","1,109.60","1,115.00","1,117.80","1,103.40","1.18M","-0.52%"
"05-12-2022","1,115.35","1,114.35","1,122.55","1,108.15","1.24M","0.09%"
"02-12-2022","1,114.35","1,124.90","1,124.90","1,099.00","2.59M","-0.94%"
"01-12-2022","1,124.90","1,145.00","1,145.20","1,117.00","1.36M","-1.29%"
"30-11-2022","1,139.65","1,121.15","1,149.00","1,120.00","2.68M","1.65%"
"29-11-2022","1,121.15","1,106.00","1,125.85","1,105.00","1.90M","1.76%"
"28-11-2022","1,101.75","1,100.00","1,110.00","1,094.10","673.34K","-0.33%"
"25-11-2022","1,105.35","1,093.05","1,107.00","1,078.50","1.45M","0.91%"
"24-11-2022","1,095.35","1,113.55","1,117.65","1,092.40","2.93M","-1.14%"
"23-11-2022","1,108.00","1,108.90","1,124.55","1,098.65","2.19M","0.35%"
"22-11-2022","1,104.10","1,107.45","1,109.70","1,097.20","1.30M","-0.03%"
"21-11-2022","1,104.45","1,104.95","1,108.20","1,093.75","1.49M","0.19%"
"18-11-2022","1,102.40","1,124.00","1,127.05","1,099.45","1.49M","-1.53%"
"17-11-2022","1,119.50","1,125.00","1,132.45","1,116.45","1.27M","-0.15%"
"16-11-2022","1,121.20","1,120.95","1,136.45","1,117.25","1.65M","0.22%"
"15-11-2022","1,118.75","1,134.95","1,134.95","1,110.85","1.26M","-0.95%"
"14-11-2022","1,129.50","1,124.50","1,133.60","1,118.20","1.50M","0.72%"
"11-11-2022","1,121.40","1,130.00","1,143.85","1,116.65","1.51M","-0.08%"
"10-11-2022","1,122.30","1,130.00","1,152.00","1,119.00","2.03M","-0.63%"
"09-11-2022","1,129.40","1,141.10","1,154.95","1,125.00","2.07M","-0.13%"
"07-11-2022","1,130.90","1,146.10","1,152.00","1,116.50","2.01M","-1.33%"
"04-11-2022","1,146.10","1,167.85","1,175.25","1,141.00","1.71M","-1.46%"
"03-11-2022","1,163.10","1,152.20","1,176.00","1,151.10","1.99M","0.33%"
"02-11-2022","1,159.25","1,173.55","1,178.40","1,156.20","1.48M","-1.21%"
"01-11-2022","1,173.40","1,167.50","1,185.25","1,163.60","1.49M","0.51%"
"31-10-2022","1,167.40","1,161.00","1,177.85","1,159.05","1.55M","1.06%"
"28-10-2022","1,155.20","1,169.00","1,171.80","1,151.00","1.09M","-0.92%"
"27-10-2022","1,165.90","1,169.95","1,180.10","1,156.30","2.36M","0.87%"
"25-10-2022","1,155.90","1,147.00","1,164.85","1,146.90","2.21M","0.78%"
"24-10-2022","1,146.90","1,145.60","1,150.00","1,141.55","129.69K","1.07%"
"21-10-2022","1,134.75","1,136.80","1,148.00","1,132.50","1.35M","-0.18%"
"20-10-2022","1,136.80","1,122.00","1,142.00","1,117.00","1.63M","1.32%"
"19-10-2022","1,122.00","1,131.50","1,145.00","1,119.10","1.30M","-0.34%"
"18-10-2022","1,125.85","1,113.70","1,130.20","1,110.30","960.28K","1.60%"
"17-10-2022","1,108.15","1,108.00","1,113.05","1,098.80","1.08M","-0.07%"
"14-10-2022","1,108.90","1,115.10","1,120.00","1,105.40","1.13M","0.48%"
"13-10-2022","1,103.65","1,108.40","1,127.85","1,101.10","1.44M","-0.43%"
"12-10-2022","1,108.45","1,111.60","1,118.05","1,099.20","1.23M","-0.15%"
"11-10-2022","1,110.10","1,121.80","1,127.15","1,103.80","1.54M","-0.78%"
"10-10-2022","1,118.85","1,110.00","1,131.50","1,110.00","1.58M","-1.03%"
"07-10-2022","1,130.50","1,135.00","1,147.20","1,129.05","1.18M","-0.35%"
"06-10-2022","1,134.45","1,150.40","1,150.40","1,124.00","1.56M","-0.89%"
"04-10-2022","1,144.65","1,138.85","1,147.50","1,133.00","1.91M","1.23%"
"03-10-2022","1,130.75","1,116.80","1,144.90","1,115.00","2.60M","1.42%"
"30-09-2022","1,114.95","1,119.75","1,128.00","1,105.05","1.83M","-0.08%"
"29-09-2022","1,115.85","1,100.55","1,121.65","1,088.10","2.09M","1.70%"
"28-09-2022","1,097.15","1,101.00","1,117.70","1,087.65","3.45M","-0.14%"
"27-09-2022","1,098.70","1,070.95","1,104.90","1,069.00","2.34M","3.10%"
"26-09-2022","1,065.65","1,065.70","1,081.20","1,050.85","1.22M","-0.23%"
"23-09-2022","1,068.10","1,067.25","1,093.00","1,063.25","3.27M","0.58%"
"22-09-2022","1,061.90","1,061.15","1,071.80","1,051.00","1.63M","-0.79%"
"21-09-2022","1,070.40","1,100.00","1,101.85","1,064.25","2.28M","-2.00%"
"20-09-2022","1,092.30","1,041.50","1,097.55","1,039.50","2.49M","5.40%"
"19-09-2022","1,036.30","1,043.95","1,043.95","1,015.00","2.07M","-0.69%"
"16-09-2022","1,043.50","1,038.50","1,060.00","1,034.00","2.85M","0.99%"
"15-09-2022","1,033.30","1,060.00","1,062.95","1,028.50","927.24K","-2.51%"
"14-09-2022","1,059.95","1,040.00","1,068.00","1,040.00","998.80K","0.10%"
"13-09-2022","1,058.90","1,057.05","1,063.00","1,052.65","1.14M","-0.55%"
"12-09-2022","1,064.75","1,058.30","1,068.50","1,057.10","936.79K","0.61%"
"09-09-2022","1,058.30","1,060.00","1,065.95","1,055.00","1.09M","0.21%"
"08-09-2022","1,056.05","1,058.50","1,059.75","1,044.00","1.76M","0.43%"
"07-09-2022","1,051.50","1,033.85","1,061.85","1,033.00","2.47M","1.02%"
"06-09-2022","1,040.85","1,025.00","1,042.00","1,024.90","1.37M","1.48%"
"05-09-2022","1,025.65","1,012.50","1,030.45","1,012.00","1.28M","0.99%"
"02-09-2022","1,015.60","1,024.00","1,031.20","1,012.05","1.66M","-0.72%"
"01-09-2022","1,023.00","1,026.00","1,044.25","1,019.40","1.53M","-1.49%"
"30-08-2022","1,038.45","1,018.50","1,042.20","1,016.10","1.57M","2.08%"
"29-08-2022","1,017.30","1,000.00","1,024.00","991.30","1.31M","-0.34%"
"26-08-2022","1,020.80","1,030.90","1,035.70","1,018.50","1.26M","-0.48%"
"25-08-2022","1,025.75","1,043.95","1,043.95","1,020.55","1.11M","-1.12%"
"24-08-2022","1,037.35","1,041.00","1,053.85","1,026.05","1.56M","-0.32%"
"23-08-2022","1,040.65","1,010.20","1,046.80","1,010.20","1.87M","1.77%"
"22-08-2022","1,022.55","1,016.00","1,029.85","1,015.50","993.05K","-0.73%"
"19-08-2022","1,030.10","1,029.05","1,036.60","1,020.10","654.00K","-0.20%"
"18-08-2022","1,032.20","1,028.50","1,034.05","1,007.35","1.20M","0.63%"
"17-08-2022","1,025.75","1,039.75","1,042.95","1,024.20","1.10M","-0.85%"
"16-08-2022","1,034.55","1,027.15","1,036.00","1,025.25","776.41K","0.72%"
"12-08-2022","1,027.15","1,043.60","1,043.60","1,022.35","1.14M","-1.08%"
"11-08-2022","1,038.40","1,040.50","1,049.00","1,035.00","838.96K","0.00%"
"10-08-2022","1,038.35","1,035.55","1,046.30","1,029.05","1.29M","0.85%"
"08-08-2022","1,029.55","1,036.20","1,039.50","1,024.10","767.29K","-0.45%"
"05-08-2022","1,034.20","1,040.00","1,045.95","1,032.00","1.56M","-0.99%"
"04-08-2022","1,044.50","1,017.80","1,046.90","1,015.00","2.87M","3.23%"
"03-08-2022","1,011.85","1,010.00","1,028.75","1,004.50","4.05M","0.76%"
"02-08-2022","1,004.20","1,003.65","1,006.10","992.00","1.18M","-0.03%"
"01-08-2022","1,004.55","990.00","1,031.00","988.30","4.65M","2.78%"
"29-07-2022","977.40","973.70","983.95","953.00","2.94M","1.03%"
"28-07-2022","967.45","977.00","978.95","964.20","1.04M","-0.68%"
"27-07-2022","974.05","956.90","976.25","951.80","904.73K","1.92%"
"26-07-2022","955.70","959.95","962.00","944.50","988.41K","-0.43%"
"25-07-2022","959.80","976.00","979.80","955.05","1.02M","-1.27%"
"22-07-2022","972.10","973.50","976.50","967.50","977.24K","0.37%"
"21-07-2022","968.50","985.00","989.50","966.35","1.68M","-1.32%"
"20-07-2022","981.50","965.70","982.95","958.85","1.63M","2.17%"
"19-07-2022","960.65","958.20","974.00","955.40","1.16M","-0.69%"
"18-07-2022","967.35","971.65","975.40","960.05","846.04K","0.13%"
"15-07-2022","966.05","963.00","968.00","951.50","1.05M","1.57%"
"14-07-2022","951.15","953.40","968.65","945.15","1.71M","-0.23%"
"13-07-2022","953.35","940.45","958.90","932.15","1.51M","1.88%"
"12-07-2022","935.75","941.90","947.35","934.00","672.41K","-1.25%"
"11-07-2022","947.55","938.00","950.00","927.05","1.04M","1.29%"
"08-07-2022","935.45","942.25","942.25","927.85","1.07M","0.02%"
"07-07-2022","935.25","950.35","950.35","933.30","1.39M","-1.09%"
"06-07-2022","945.60","940.00","950.00","933.15","1.39M","0.87%"
"05-07-2022","937.40","935.00","949.65","930.25","1.53M","0.73%"
"04-07-2022","930.65","944.60","950.00","928.50","1.00M","-1.96%"
"01-07-2022","949.30","911.20","956.05","911.20","1.79M","3.50%"
"30-06-2022","917.20","944.00","944.00","911.40","2.43M","-3.21%"
"29-06-2022","947.65","937.05","961.90","922.90","2.46M","0.27%"
"28-06-2022","945.10","935.00","947.80","921.85","931.11K","1.37%"
"27-06-2022","932.35","936.00","946.40","930.55","846.80K","-0.14%"
"24-06-2022","933.70","933.00","943.50","930.00","722.84K","0.04%"
"23-06-2022","933.35","917.00","937.30","914.40","615.62K","1.79%"
"22-06-2022","916.90","931.00","945.00","912.80","1.70M","-2.27%"
"21-06-2022","938.20","927.10","944.45","927.10","521.96K","1.33%"
"20-06-2022","925.85","914.75","928.15","902.00","942.69K","1.21%"
"17-06-2022","914.75","932.20","944.55","910.80","2.72M","-2.78%"
"16-06-2022","940.95","976.00","977.75","927.80","1.90M","-2.87%"
"15-06-2022","968.80","965.00","974.90","964.00","1.11M","0.43%"
"14-06-2022","964.70","955.00","970.80","950.80","1.57M","1.04%"
"13-06-2022","954.75","955.00","984.75","947.80","3.02M","-1.25%"
"10-06-2022","966.80","960.00","971.60","960.00","776.46K","-0.53%"
"09-06-2022","971.95","962.90","974.30","955.00","1.41M","0.93%"
"08-06-2022","962.95","972.00","976.05","956.90","1.87M","-1.01%"
"07-06-2022","972.75","971.55","979.65","962.00","1.76M","-0.34%"
"06-06-2022","976.05","960.95","979.70","960.50","1.41M","1.57%"
"03-06-2022","960.95","990.05","998.75","957.15","1.06M","-2.65%"
"02-06-2022","987.10","977.50","1,006.85","977.50","2.64M","0.36%"
"01-06-2022","983.55","994.50","998.65","980.35","1.29M","-0.95%"
"31-05-2022","992.95","988.90","1,004.90","978.70","4.87M","0.62%"
"30-05-2022","986.80","968.40","992.00","968.00","2.17M","2.12%"
"27-05-2022","966.35","970.10","977.80","960.00","1.25M","0.19%"
"26-05-2022","964.55","972.10","977.35","960.25","1.63M","-0.75%"
"25-05-2022","971.85","972.40","985.90","969.45","1.95M","0.15%"
"24-05-2022","970.40","977.00","977.70","961.75","1.62M","0.04%"
"23-05-2022","970.05","978.80","987.70","966.45","1.22M","-0.85%"
"20-05-2022","978.40","950.00","982.60","939.00","2.59M","4.31%"
"19-05-2022","938.00","940.00","953.95","934.40","1.20M","-2.00%"
"18-05-2022","957.10","945.80","961.20","941.35","2.58M","2.04%"
"17-05-2022","938.00","935.00","941.05","916.20","2.30M","0.49%"
"16-05-2022","933.40","926.05","945.00","926.05","1.46M","-0.13%"
"13-05-2022","934.60","924.10","940.10","922.20","1.73M","1.50%"
"12-05-2022","920.75","935.00","937.00","915.50","2.24M","-1.80%"
"11-05-2022","937.60","912.00","942.60","904.25","5.30M","1.24%"
"10-05-2022","926.15","930.00","939.60","918.55","1.66M","-1.29%"
"09-05-2022","938.30","934.75","942.00","922.00","2.05M","0.38%"
"06-05-2022","934.75","937.80","946.35","925.40","1.83M","-1.44%"
"05-05-2022","948.40","959.95","967.20","944.00","2.16M","-0.96%"
"04-05-2022","957.55","977.50","983.00","947.05","2.09M","-1.95%"
"02-05-2022","976.60","979.00","989.75","971.80","1.77M","-0.47%"
"29-04-2022","981.20","981.30","994.90","976.50","1.97M","0.00%"
"28-04-2022","981.20","988.00","990.60","977.95","1.84M","0.35%"
"27-04-2022","977.75","965.20","980.25","964.00","1.03M","-0.07%"
"26-04-2022","978.40","958.15","980.60","957.05","1.81M","2.65%"
"25-04-2022","953.15","957.10","963.00","946.30","1.31M","-1.43%"
"22-04-2022","967.00","998.00","998.55","959.00","2.46M","-3.16%"
"21-04-2022","998.55","1,016.05","1,020.00","996.70","1.53M","-1.33%"
"20-04-2022","1,012.05","1,001.90","1,015.00","990.05","1.80M","1.17%"
"19-04-2022","1,000.30","1,034.70","1,038.90","980.35","1.81M","-2.68%"
"18-04-2022","1,027.85","1,016.60","1,035.00","1,010.10","2.09M","1.11%"
"13-04-2022","1,016.60","1,031.00","1,033.80","1,012.20","1.89M","-1.04%"
"12-04-2022","1,027.25","1,021.50","1,031.70","1,013.00","2.75M","0.17%"
"11-04-2022","1,025.50","1,012.00","1,028.30","1,011.60","2.09M","1.37%"
"08-04-2022","1,011.60","1,038.45","1,038.45","1,005.00","3.00M","-2.42%"
"07-04-2022","1,036.70","1,036.00","1,062.65","1,032.30","3.50M","0.75%"
"06-04-2022","1,029.00","1,014.00","1,033.85","1,014.00","1.49M","0.74%"
"05-04-2022","1,021.45","1,035.00","1,036.00","1,017.00","1.60M","-0.62%"
"04-04-2022","1,027.80","1,018.00","1,029.65","1,003.45","1.67M","1.28%"
"01-04-2022","1,014.85","1,023.00","1,025.90","1,006.00","1.29M","-0.31%"
"31-03-2022","1,018.05","1,030.00","1,035.00","1,013.60","1.98M","-1.06%"
"30-03-2022","1,028.95","1,043.00","1,054.80","1,025.20","3.08M","-0.95%"
"29-03-2022","1,038.85","1,020.20","1,041.00","1,020.20","3.19M","2.14%"
"28-03-2022","1,017.10","1,022.00","1,044.25","1,008.90","3.85M","0.36%"
"25-03-2022","1,013.50","1,033.30","1,033.30","1,006.00","1.68M","-1.51%"
"24-03-2022","1,029.00","1,014.00","1,040.10","1,001.75","3.34M","1.43%"
"23-03-2022","1,014.45","1,044.90","1,044.90","1,011.25","2.78M","-1.76%"
"22-03-2022","1,032.60","1,045.00","1,049.25","1,024.00","2.27M","-1.69%"
"21-03-2022","1,050.30","1,067.80","1,071.00","1,049.10","2.04M","0.17%"
"17-03-2022","1,048.50","1,056.00","1,066.40","1,045.70","3.71M","-0.69%"
"16-03-2022","1,055.80","1,077.00","1,078.00","1,049.15","3.38M","-1.15%"
"15-03-2022","1,068.05","1,045.00","1,083.00","1,045.00","7.95M","1.85%"
"14-03-2022","1,048.65","1,045.00","1,058.00","1,036.75","5.59M","0.45%"
"11-03-2022","1,043.95","984.25","1,053.75","981.35","11.11M","5.76%"
"10-03-2022","987.05","982.05","992.90","975.00","4.15M","0.56%"
"09-03-2022","981.55","969.55","987.55","960.05","3.50M","1.24%"
"08-03-2022","969.55","938.00","977.00","935.40","5.83M","3.02%"
"07-03-2022","941.15","921.90","946.00","917.05","2.60M","1.07%"
"04-03-2022","931.20","929.00","941.00","920.25","2.45M","-0.40%"
"03-03-2022","934.90","925.00","945.00","919.55","2.62M","1.28%"
"02-03-2022","923.10","911.10","931.30","911.10","3.28M","-0.21%"
"28-02-2022","925.05","920.05","929.95","911.00","1.53M","0.15%"
"25-02-2022","923.65","903.00","926.70","890.95","2.83M","3.11%"
"24-02-2022","895.80","899.80","908.75","888.15","2.00M","-2.09%"
"23-02-2022","914.90","915.25","921.30","910.25","1.40M","0.16%"
"22-02-2022","913.40","893.20","918.00","890.75","1.88M","0.68%"
"21-02-2022","907.25","903.10","913.70","896.00","1.86M","-0.20%"
"18-02-2022","909.10","927.50","929.85","903.05","3.64M","-2.06%"
"17-02-2022","928.20","934.80","955.50","925.70","2.84M","-0.53%"
"16-02-2022","933.10","938.00","940.25","920.10","2.48M","1.22%"
"15-02-2022","921.85","916.55","938.80","912.30","8.30M","-3.46%"
"14-02-2022","954.90","947.00","962.90","938.85","2.35M","-0.38%"
"11-02-2022","958.50","956.50","976.05","953.00","1.29M","-1.70%"
"10-02-2022","975.05","969.00","977.35","963.00","2.04M","0.70%"
"09-02-2022","968.25","954.80","972.50","950.25","2.51M","2.13%"
"08-02-2022","948.05","933.30","951.00","931.10","1.81M","1.58%"
"07-02-2022","933.30","946.20","947.00","927.05","949.27K","-1.35%"
"04-02-2022","946.10","951.25","957.75","940.00","1.43M","-0.70%"
"03-02-2022","952.75","953.00","957.00","944.55","1.12M","0.10%"
"02-02-2022","951.80","945.50","958.50","944.75","1.74M","0.57%"
"01-02-2022","946.40","948.00","959.00","938.80","2.03M","0.15%"
"31-01-2022","945.00","939.00","950.00","930.65","2.01M","1.37%"
"28-01-2022","932.25","926.55","942.00","917.45","2.43M","0.50%"
"27-01-2022","927.60","901.00","931.50","887.00","7.86M","2.42%"
"25-01-2022","905.65","891.40","909.00","881.10","2.32M","1.52%"
"24-01-2022","892.10","871.50","895.00","867.45","4.99M","2.84%"
"21-01-2022","867.45","880.00","880.00","860.00","1.67M","-1.69%"
"20-01-2022","882.35","895.00","899.90","880.05","1.61M","-1.48%"
"19-01-2022","895.65","900.05","901.60","885.10","1.41M","-0.72%"
"18-01-2022","902.15","910.20","914.60","898.45","1.83M","-0.88%"
"17-01-2022","910.20","915.60","920.20","909.00","1.06M","-1.23%"
"14-01-2022","921.50","926.05","933.00","916.30","2.32M","-0.28%"
"13-01-2022","924.05","912.00","929.15","908.70","2.74M","1.97%"
"12-01-2022","906.20","918.40","918.40","901.20","2.09M","-1.06%"
"11-01-2022","915.95","917.50","921.75","913.00","1.58M","-0.03%"
"10-01-2022","916.20","914.75","917.85","908.65","1.64M","0.16%"
"07-01-2022","914.75","926.40","926.65","913.35","1.55M","-0.79%"
"06-01-2022","922.00","928.55","935.95","919.30","1.38M","-0.71%"
"05-01-2022","928.55","926.50","931.80","919.00","1.41M","0.47%"
"04-01-2022","924.25","937.45","937.45","920.25","1.24M","-0.67%"
"03-01-2022","930.50","947.05","947.90","925.80","2.01M","-1.44%"
"31-12-2021","944.10","955.00","957.25","942.00","2.04M","-0.91%"
"30-12-2021","952.75","937.00","955.00","936.10","1.73M","1.84%"
"29-12-2021","935.55","938.00","947.60","933.25","2.69M","0.24%"
"28-12-2021","933.30","932.00","936.30","923.05","1.91M","0.33%"
"27-12-2021","930.25","912.90","933.15","910.15","4.60M","2.42%"
"24-12-2021","908.30","910.20","912.90","901.80","1.11M","-0.16%"
"23-12-2021","909.75","892.00","912.50","891.25","1.97M","2.25%"
"22-12-2021","889.70","889.00","893.85","880.95","1.27M","0.33%"
"21-12-2021","886.75","893.80","897.40","882.05","2.30M","-0.79%"
"20-12-2021","893.80","864.00","898.45","861.10","8.50M","3.91%"
